DIAMETER,Diameter (Millimeter),Pitch (Coarse),Tap Drill (Coarse),Pitch (Fine),Tap Drill (Fine)
,M1,0.25,0.75,0.2,0.8
,M1.2,0.25,0.95,0.2,1
,M1.4,0.3,1.1,0.2,1.2
,M1.6,0.35,1.25,0.2,1.4
,M1.8,0.35,1.45,0.2,1.6
,M2,0.4,1.6,0.25,1.75
,M2.5,0.45,2,0.35,2.1
,M3,0.5,2.5,0.35,2.6
,M3.5,0.6,2.9,0.35,3.1
,M4,0.7,3.3,0.5,3.5
,M5,0.8,4.2,0.5,4.5
,M6,1,5,0.75,5.2
,M7,1,6,0.75,6.2
,M8,1.25,6.8,0.75 or 1,7.2
,M10,1.5,8.5,1 or 1.25,9 or 8.8
,M12,1.75,10.2,1.25 or 1.5,10.8 or 10.5
,M14,2,12,1.5,12.5
,M16,2,14,1.5,14.5
,M18,2.5,15.5,1.5 or 2,16.5 or 16
,M20,2.5,17.5,1.5 or 2,18.5 or 18
,M24,3,21,2,22
,M27,3,24,2,25
,M33,3.5,29.5,2,31
,M36,4,32,3,33
,M39,4,35,3,36
,M42,4.5,37.5,3,39
,M45,4.5,40.5,4,41
,M48,5,43,4,44
,M52,5,47,4,48
,M56,5.5,50.5,4,52
,M60,5.5,54.5,4,56
,M64,6,58,4,60
